Pelanggan ke-,Waktu Kedatangan,Waktu Mulai dilayani,Waktu selesai dilayani
1,07.01.14,07.01.14,07.02.09
2,07.02.03,07.02.09,07.03.05
3,07.02.47,07.03.05,07.03.10
4,07.03.29,07.03.29,07.05.02
5,07.03.54,07.05.02,07.05.30
6,07.05.51,07.05.51,07.07.01
7,07.07.19,07.07.19,07.07.34
8,07.08.22,07.08.22,07.09.52
9,07.09.21,07.09.52,07.10.12
10,07.09.21,07.10.12,07.10.15
11,07.10.13,07.10.15,07.11.49
12,07.10.54,07.11.49,07.11.53
13,07.11.00,07.11.53,07.12.08
14,07.11.58,07.12.08,07.14.08
15,07.12.44,07.14.08,07.16.08
16,07.15.31,07.16.08,07.16.42
17,07.17.28,07.17.28,07.18.08
18,07.17.31,07.18.08,07.18.31
19,07.18.14,07.18.31,07.18.45
20,07.18.16,07.18.45,07.19.01
21,07.21.58,07.21.58,07.22.43
22,07.22.27,07.22.43,07.23.39
23,07.25.54,07.25.54,07.26.57
24,07.26.24,07.26.57,07.27.59
25,07.27.21,07.27.59,07.28.03
26,07.29.42,07.29.42,07.30.09
27,07.30.50,07.30.50,07.30.53
28,07.31.28,07.31.28,07.32.00
29,07.35.32,07.35.32,07.35.55
30,07.35.54,07.35.55,07.37.22
31,07.36.03,07.37.22,07.37.40
32,07.36.26,07.37.40,07.37.45
33,07.36.42,07.37.45,07.37.51
34,07.41.02,07.41.02,07.41.59
35,07.42.28,07.42.28,07.43.06
36,07.43.54,07.43.54,07.43.58
37,07.47.05,07.47.05,07.47.09
38,07.48.29,07.48.29,07.49.17
39,07.49.55,07.49.55,07.49.58
40,07.51.57,07.51.57,07.53.06
41,07.54.32,07.54.32,07.55.21
42,07.56.55,07.56.55,07.56.58
43,07.57.01,07.57.01,07.57.05
44,07.57.55,07.57.55,08.00.47
45,07.58.10,08.00.47,08.01.06
46,08.00.19,08.01.06,08.01.25
47,08.02.42,08.02.42,08.03.49
48,08.04.28,08.04.28,08.06.25
49,08.05.18,08.06.25,08.09.16
50,08.08.27,08.09.16,08.10.12
51,08.11.05,08.11.05,08.11.24
52,08.11.45,08.11.45,08.11.48
53,08.11.55,08.11.55,08.12.55
54,08.16.16,08.16.16,08.16.49
55,08.16.51,08.16.51,08.17.13
56,08.18.41,08.18.41,08.20.16
57,08.19.30,08.20.16,08.20.21
58,08.21.23,08.21.23,08.21.51
59,08.23.18,08.23.18,08.23.21
60,08.31.11,08.31.11,08.31.37
61,08.32.33,08.32.33,08.32.36
62,08.32.47,08.32.47,08.32.52
63,08.35.51,08.35.51,08.35.56
64,08.39.44,08.39.44,08.40.26
65,08.42.23,08.42.23,08.43.18
66,08.43.43,08.43.43,08.44.18
67,08.46.19,08.46.19,08.48.30
68,08.46.29,08.48.30,08.48.49
69,08.48.07,08.48.49,08.49.02
70,08.48.54,08.49.02,08.50.23
71,08.49.42,08.50.23,08.50.33
72,08.53.40,08.53.40,08.55.52
73,08.55.17,08.55.52,08.55.55
74,08.56.21,08.56.21,08.58.41
75,08.58.09,08.58.41,08.58.44
76,08.59.11,08.59.11,09.00.40
77,09.00.25,09.00.40,09.01.10
78,09.01.31,09.01.31,09.04.49
79,09.01.53,09.04.49,09.04.52
80,09.03.48,09.04.52,09.05.25
81,09.04.26,09.05.25,09.07.44
82,09.04.37,09.07.44,09.08.14
83,09.06.28,09.08.14,09.08.53
84,09.06.36,09.08.53,09.09.41
85,09.06.57,09.09.41,09.10.05
86,09.07.10,09.10.05,09.10.45
87,09.07.11,09.10.45,09.11.20
88,09.09.40,09.11.20,09.12.52
89,09.11.11,09.12.52,09.12.55
90,09.13.19,09.13.19,09.13.32
91,09.13.40,09.13.40,09.15.40
92,09.13.43,09.15.40,09.17.08
93,09.14.57,09.17.08,09.17.33
94,09.17.22,09.17.33,09.18.11
95,09.18.39,09.18.39,09.18.52
96,09.18.51,09.18.52,09.19.00
97,09.19.04,09.19.04,09.19.29
98,09.19.23,09.19.29,09.19.46
99,09.19.30,09.19.46,09.20.21
100,09.19.50,09.20.21,09.20.25
101,09.20.15,09.20.25,09.22.51
102,09.21.30,09.22.51,09.25.43
103,09.24.36,09.25.43,09.26.31
104,09.25.02,09.26.31,09.27.01
105,09.25.37,09.27.01,09.27.16
106,09.25.38,09.27.16,09.28.23
107,09.28.19,09.28.23,09.29.09
108,09.29.37,09.29.37,09.29.44
109,09.30.30,09.30.30,09.32.07
110,09.30.38,09.32.07,09.33.16
111,09.31.21,09.33.16,09.35.15
112,09.32.21,09.35.15,09.36.07
113,09.33.40,09.36.07,09.36.45
114,09.37.23,09.37.23,09.37.44
115,09.37.59,09.37.59,09.39.47
116,09.38.10,09.39.47,09.41.07
117,09.38.14,09.41.07,09.41.10
118,09.42.46,09.42.46,09.42.49
119,09.43.45,09.43.45,09.44.04
120,09.45.19,09.45.19,09.46.25
121,09.45.38,09.46.25,09.49.20
122,09.46.14,09.49.20,09.49.26
123,09.46.15,09.49.26,09.50.02
124,09.48.12,09.50.02,09.50.22
125,09.48.25,09.50.22,09.52.42
126,09.48.28,09.52.42,09.53.56
127,09.49.04,09.53.56,09.55.08
128,09.51.37,09.55.08,09.55.34
129,09.51.46,09.55.34,10.03.40
130,09.52.16,10.03.40,10.08.51
131,09.53.13,10.08.51,10.14.04
132,09.53.32,10.14.04,10.18.00
133,09.53.45,10.18.00,10.23.40
134,09.54.26,10.23.40,10.29.07
135,09.55.45,10.29.07,10.32.55
136,09.56.33,10.32.55,10.33.27
137,10.00.59,10.33.27,10.34.26
